set_num,name,year,theme_id,num_parts,set_img_url,set_url
75025-1,Jedi Defender-class Cruiser,2013,158,927,https://cdn.rebrickable.com/media/sets/75025-1/7578.jpg,https://rebrickable.com/sets/75025-1/jedi-defender-class-cruiser/
75017-1,Duel on Geonosis,2013,158,391,https://cdn.rebrickable.com/media/sets/75017-1/7157.jpg,https://rebrickable.com/sets/75017-1/duel-on-geonosis/
10236-1,Ewok Village,2013,171,1990,https://cdn.rebrickable.com/media/sets/10236-1/9304.jpg,https://rebrickable.com/sets/10236-1/ewok-village/
76005-1,Spider-Man: Daily Bugle Showdown,2013,706,477,https://cdn.rebrickable.com/media/sets/76005-1/6644.jpg,https://rebrickable.com/sets/76005-1/spider-man-daily-bugle-showdown/
70008-1,Gorzan's Gorilla Striker,2013,571,505,https://cdn.rebrickable.com/media/sets/70008-1/10478.jpg,https://rebrickable.com/sets/70008-1/gorzans-gorilla-striker/
10233-1,Horizon Express,2013,673,1351,https://cdn.rebrickable.com/media/sets/10233-1/17552.jpg,https://rebrickable.com/sets/10233-1/horizon-express/
70505-1,Temple of Light,2013,435,565,https://cdn.rebrickable.com/media/sets/70505-1/1054.jpg,https://rebrickable.com/sets/70505-1/temple-of-light/
60008-1,Museum Break-in,2013,61,563,https://cdn.rebrickable.com/media/sets/60008-1/5669.jpg,https://rebrickable.com/sets/60008-1/museum-break-in/
70010-1,The Lion CHI Temple,2013,571,1259,https://cdn.rebrickable.com/media/sets/70010-1/16774.jpg,https://rebrickable.com/sets/70010-1/the-lion-chi-temple/
45560-1,EV3 Expansion Set,2013,518,856,https://cdn.rebrickable.com/media/sets/45560-1/2497.jpg,https://rebrickable.com/sets/45560-1/ev3-expansion-set/
10662-1,Creative Bucket,2013,35,607,https://cdn.rebrickable.com/media/sets/10662-1/8907.jpg,https://rebrickable.com/sets/10662-1/creative-bucket/
79104-3,The Shellraiser Street Chase (Technic Base Version),2013,570,657,https://cdn.rebrickable.com/media/sets/79104-3/44349.jpg,https://rebrickable.com/sets/79104-3/the-shellraiser-street-chase-technic-base-version/
70005-1,Laval's Royal Fighter,2013,571,416,https://cdn.rebrickable.com/media/sets/70005-1/44810.jpg,https://rebrickable.com/sets/70005-1/lavals-royal-fighter/
41005-1,Heartlake High,2013,494,491,https://cdn.rebrickable.com/media/sets/41005-1/5373.jpg,https://rebrickable.com/sets/41005-1/heartlake-high/
31012-1,Family House,2013,672,756,https://cdn.rebrickable.com/media/sets/31012-1/5563.jpg,https://rebrickable.com/sets/31012-1/family-house/
4000008-1,Villy Thomsen Truck,2013,599,367,https://cdn.rebrickable.com/media/sets/4000008-1/16057.jpg,https://rebrickable.com/sets/4000008-1/villy-thomsen-truck/
76007-1,Iron Man: Malibu Mansion Attack,2013,705,365,https://cdn.rebrickable.com/media/sets/76007-1/16553.jpg,https://rebrickable.com/sets/76007-1/iron-man-malibu-mansion-attack/
21103-1,The DeLorean Time Machine,2013,576,401,https://cdn.rebrickable.com/media/sets/21103-1/13853.jpg,https://rebrickable.com/sets/21103-1/the-delorean-time-machine/
10240-1,Red Five X-Wing Starfighter,2013,171,1558,https://cdn.rebrickable.com/media/sets/10240-1/2869.jpg,https://rebrickable.com/sets/10240-1/red-five-x-wing-starfighter/
45100-1,StoryStarter Core Set,2013,507,1147,https://cdn.rebrickable.com/media/sets/45100-1/13153.jpg,https://rebrickable.com/sets/45100-1/storystarter-core-set/
10232-1,Palace Cinema,2013,155,2194,https://cdn.rebrickable.com/media/sets/10232-1/10987.jpg,https://rebrickable.com/sets/10232-1/palace-cinema/
41999-1,4 x 4 Crawler Exclusive Edition,2013,1,1584,https://cdn.rebrickable.com/media/sets/41999-1/16600.jpg,https://rebrickable.com/sets/41999-1/4-x-4-crawler-exclusive-edition/
2000431-1,Connections Kit,2013,510,2448,https://cdn.rebrickable.com/media/sets/2000431-1/42456.jpg,https://rebrickable.com/sets/2000431-1/connections-kit/
75013-1,Umbaran MHC (Mobile Heavy Cannon),2013,158,493,https://cdn.rebrickable.com/media/sets/75013-1/6493.jpg,https://rebrickable.com/sets/75013-1/umbaran-mhc-mobile-heavy-cannon/
70704-1,Vermin Vaporizer,2013,146,506,https://cdn.rebrickable.com/media/sets/70704-1/8102.jpg,https://rebrickable.com/sets/70704-1/vermin-vaporizer/
75014-1,Battle Of Hoth,2013,158,422,https://cdn.rebrickable.com/media/sets/75014-1/4730.jpg,https://rebrickable.com/sets/75014-1/battle-of-hoth/
21106-1,Micro World - The Nether,2013,577,470,https://cdn.rebrickable.com/media/sets/21106-1/13297.jpg,https://rebrickable.com/sets/21106-1/micro-world-the-nether/
10234-1,Sydney Opera House,2013,673,2989,https://cdn.rebrickable.com/media/sets/10234-1/15850.jpg,https://rebrickable.com/sets/10234-1/sydney-opera-house/
YODACHRON-1,Yoda Chronicles Promotional Set,2013,158,413,https://cdn.rebrickable.com/media/sets/yodachron-1/13640.jpg,https://rebrickable.com/sets/YODACHRON-1/yoda-chronicles-promotional-set/
70011-1,Eagles' Castle,2013,572,372,https://cdn.rebrickable.com/media/sets/70011-1/533.jpg,https://rebrickable.com/sets/70011-1/eagles-castle/
60014-1,Coast Guard Patrol,2013,55,450,https://cdn.rebrickable.com/media/sets/60014-1/11023.jpg,https://rebrickable.com/sets/60014-1/coast-guard-patrol/
31010-1,Treehouse,2013,672,356,https://cdn.rebrickable.com/media/sets/31010-1/8624.jpg,https://rebrickable.com/sets/31010-1/treehouse/
60021-1,Cargo Heliplane,2013,53,393,https://cdn.rebrickable.com/media/sets/60021-1/9096.jpg,https://rebrickable.com/sets/60021-1/cargo-heliplane/
60022-1,Cargo Terminal,2013,53,657,https://cdn.rebrickable.com/media/sets/60022-1/10608.jpg,https://rebrickable.com/sets/60022-1/cargo-terminal/
70709-1,Galactic Titan,2013,146,1012,https://cdn.rebrickable.com/media/sets/70709-1/16629.jpg,https://rebrickable.com/sets/70709-1/galactic-titan/
41008-1,Heartlake City Pool,2013,494,442,https://cdn.rebrickable.com/media/sets/41008-1/150.jpg,https://rebrickable.com/sets/41008-1/heartlake-city-pool/
60009-1,Helicopter Arrest,2013,61,352,https://cdn.rebrickable.com/media/sets/60009-1/4218.jpg,https://rebrickable.com/sets/60009-1/helicopter-arrest/
79104-1,The Shellraiser Street Chase,2013,570,620,https://cdn.rebrickable.com/media/sets/79104-1/15868.jpg,https://rebrickable.com/sets/79104-1/the-shellraiser-street-chase/
60025-1,Grand Prix Truck,2013,52,323,https://cdn.rebrickable.com/media/sets/60025-1/16893.jpg,https://rebrickable.com/sets/60025-1/grand-prix-truck/
70404-1,King's Castle,2013,186,1003,https://cdn.rebrickable.com/media/sets/70404-1/3697.jpg,https://rebrickable.com/sets/70404-1/kings-castle/
31011-1,Aviation Adventures,2013,672,620,https://cdn.rebrickable.com/media/sets/31011-1/15310.jpg,https://rebrickable.com/sets/31011-1/aviation-adventures/
42006-1,Excavator,2013,1,720,https://cdn.rebrickable.com/media/sets/42006-1/9069.jpg,https://rebrickable.com/sets/42006-1/excavator/
60020-1,Cargo Truck,2013,54,320,https://cdn.rebrickable.com/media/sets/60020-1/3338.jpg,https://rebrickable.com/sets/60020-1/cargo-truck/
50011-1,The Battle of Helm's Deep,2013,502,338,https://cdn.rebrickable.com/media/sets/50011-1/9537.jpg,https://rebrickable.com/sets/50011-1/the-battle-of-helms-deep/
42005-1,Monster Truck,2013,1,329,https://cdn.rebrickable.com/media/sets/42005-1/9119.jpg,https://rebrickable.com/sets/42005-1/monster-truck/
70006-1,Cragger's Command Ship,2013,571,610,https://cdn.rebrickable.com/media/sets/70006-1/6909.jpg,https://rebrickable.com/sets/70006-1/craggers-command-ship/
31313-1,Mindstorms EV3,2013,262,601,https://cdn.rebrickable.com/media/sets/31313-1/16607.jpg,https://rebrickable.com/sets/31313-1/mindstorms-ev3/
21050-1,Architecture Studio,2013,252,1211,https://cdn.rebrickable.com/media/sets/21050-1/17335.jpg,https://rebrickable.com/sets/21050-1/architecture-studio/
2000430-1,Identity and Landscape Kit,2013,510,2854,https://cdn.rebrickable.com/media/sets/2000430-1/44501.jpg,https://rebrickable.com/sets/2000430-1/identity-and-landscape-kit/
75018-1,JEK-14's Stealth Starfighter,2013,158,550,https://cdn.rebrickable.com/media/sets/75018-1/3497.jpg,https://rebrickable.com/sets/75018-1/jek-14s-stealth-starfighter/
75004-1,Z-95 Headhunter,2013,158,373,https://cdn.rebrickable.com/media/sets/75004-1/1378.jpg,https://rebrickable.com/sets/75004-1/z-95-headhunter/
50004-1,Story Mixer,2013,502,425,https://cdn.rebrickable.com/media/sets/50004-1/12027.jpg,https://rebrickable.com/sets/50004-1/story-mixer/
42000-1,Grand Prix Racer,2013,1,1141,https://cdn.rebrickable.com/media/sets/42000-1/6516.jpg,https://rebrickable.com/sets/42000-1/grand-prix-racer/
20215-1,Invention Designer (Kits 10 - 12),2013,432,678,https://cdn.rebrickable.com/media/sets/20215-1/339.jpg,https://rebrickable.com/sets/20215-1/invention-designer-kits-10-12/
4000013-1,A LEGO Christmas Tale,2013,599,435,https://cdn.rebrickable.com/media/sets/4000013-1/14006.jpg,https://rebrickable.com/sets/4000013-1/a-lego-christmas-tale/
70703-1,Star Slicer,2013,146,311,https://cdn.rebrickable.com/media/sets/70703-1/13841.jpg,https://rebrickable.com/sets/70703-1/star-slicer/
70702-1,Warp Stinger,2013,146,310,https://cdn.rebrickable.com/media/sets/70702-1/7632.jpg,https://rebrickable.com/sets/70702-1/warp-stinger/
2000423-1,FLL Trophy Large,2013,398,438,https://cdn.rebrickable.com/media/sets/2000423-1/129355.jpg,https://rebrickable.com/sets/2000423-1/fll-trophy-large/
